         210351 function calls (209058 primitive calls) in 557.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.001    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\base.py:315(shape)
       39    0.001    0.000    0.019    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:6987(ensure_index)
      122    0.001    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:181(_add_filter)
        4    0.001    0.000    0.003    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:4435(_reduce)
        2    0.001    0.001    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:1338(current_thread)
      300    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:184(__init__)
        1    0.001    0.001    0.044    0.044 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\construction.py:425(dict_to_mgr)
      603    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      366    0.001    0.000    0.001    0.000 {built-in method _warnings._filters_mutated}
      200    0.001    0.000    0.005    0.000 <__array_function__ internals>:177(concatenate)
      100    0.001    0.000    3.099    0.031 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:128(_generate_sample_indices)
        7    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:130(filterwarnings)
        4    0.001    0.000    0.275    0.069 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\__init__.py:188(_pandas_indexing)
      903    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:259(__exit__)
      300    0.001    0.000  556.542    1.855 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:569(__init__)
      304    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
      300    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\functools.py:65(wraps)
      311    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:34(__init__)
        3    0.001    0.000    0.001    0.000 {method 'count' of 'list' objects}
      115    0.001    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numerictypes.py:356(issubdtype)
        1    0.001    0.001    0.351    0.351 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\model_selection\_split.py:2334(train_test_split)
        3    0.001    0.000    0.418    0.139 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:3621(take)
        3    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:757(_terminate_backend)
       34    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:470(sanitize_array)
      215    0.001    0.000    0.372    0.002 <__array_function__ internals>:177(sum)
      203    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        7    0.001    0.000    0.018    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:672(_with_infer)
        1    0.001    0.001    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:88(_handle_zeros_in_scale)
        1    0.001    0.001    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:5799(_raise_if_missing)
        1    0.001    0.001    0.002    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:2008(_form_blocks)
       14    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5525(__finalize__)
       60    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      417    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
      6/3    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:732(_initialize_backend)
      206    0.001    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:359(_check_n_features)
      416    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
